609,821,707,22,794,586,52,775
836,716,851,337,344,233,15,147
505,723,506,570,28,807,20,236
499,710,509,390,27,795,19,235
428,718,442,342,351,238,8,135
430,488,419,233,31,109,17,389
600,797,606,48,55,474,51,66
113,486,164,592,482,316,35,211
510,715,500,395,22,790,30,230
845,730,846,563,21,814,29,229
429,485,430,40,30,96,28,304
501,639,504,719,13,249,14,829
116,483,161,597,487,310,38,214
593,722,675,62,557,160,59,111
597,529,688,202,792,450,59,10
490,778,485,574,33,462,36,253
590,779,672,35,562,463,37,118
626,32,589,37,34,117,38,757
443,728,466,250,328,810,31,353
445,730,427,327,334,255,25,151
445,54,435,250,8,302,0,406
591,36,585,780,34,113,57,456
447,52,433,248,14,300,2,404
110,249,102,647,1,612,57,538
579,704,692,211,569,176,44,18
582,752,684,731,520,324,5,245
578,725,702,769,511,831,12,461
576,203,684,626,572,449,40,248
107,499,177,581,503,297,54,571
284,250,260,769,492,298,33,413
857,732,845,332,325,314,18,148
870,750,881,375,378,203,45,177
220,751,221,374,26,428,29,804
476,419,469,21,58,207,61,704
470,749,474,825,1,775,52,501
632,243,740,586,830,505,11,192
581,23,634,18,21,66,17,704
475,631,575,634,448,12,3,720
637,569,664,226,816,483,19,34
90,454,82,199,49,284,63,427
629,254,745,583,819,500,29,205
465,740,561,29,451,782,1,786
82,453,135,627,449,287,0,246
754,15,712,195,53,522,57,431
589,31,626,26,29,74,2,712
346,80,438,736,453,368,31,544
624,824,749,48,782,614,0,105
305,755,204,433,7,439,9,58
617,737,649,520,545,789,38,222
619,764,576,808,213,234,37,484
885,760,866,352,361,216,62,177
461,613,557,616,466,30,17,706
400,22,403,475,34,270,32,94
72,680,79,212,23,229,35,577
402,20,401,473,32,259,34,92
78,470,148,608,466,277,19,536
294,759,281,754,51,211,52,481
72,746,76,202,12,572,3,323
66,469,146,611,465,80,16,230
318,216,294,793,462,264,3,447
612,755,595,807,218,229,42,491
455,678,456,589,126,616,127,794
325,751,329,518,32,231,40,208
488,430,485,175,93,43,87,451
130,684,141,140,291,293,115,176
539,652,559,856,165,870,85,404
679,653,837,92,280,169,78,441
489,655,507,279,286,175,73,198
540,664,552,869,162,847,91,403
435,648,605,860,418,866,81,400
318,663,305,638,88,159,80,168
62,422,225,528,418,35,99,622
533,675,767,569,617,300,123,170
308,666,316,627,85,146,93,165
483,645,394,162,272,882,71,306
776,575,783,655,77,185,78,893
557,127,530,122,125,42,121,687
530,544,762,655,604,161,81,163
440,724,434,461,80,848,90,160
292,638,461,670,443,191,97,606
39,447,253,521,443,381,122,590
525,837,656,77,883,539,102,20
522,409,661,841,892,71,104,389
426,469,419,99,76,185,75,691
565,103,522,98,101,50,122,690
428,646,427,623,73,882,65,185
520,652,662,119,886,542,98,16
568,106,519,111,104,63,119,698
701,667,863,78,258,190,84,419
497,448,414,356,444,183,127,548
516,191,661,83,895,609,104,11
796,154,866,837,104,312,110,456
42,103,243,299,439,893,118,108
163,656,162,265,101,468,98,859
517,577,736,154,840,402,112,90
407,686,409,481,127,837,119,143
809,447,821,573,391,75,68,663
415,762,404,529,34,564,35,838
575,637,732,531,889,422,87,135
568,654,722,677,630,260,123,139
153,306,152,683,89,864,94,495
569,892,575,84,73,440,82,1
571,764,735,677,629,840,113,136
403,678,628,95,385,844,67,848
653,678,879,124,306,142,100,403
565,163,560,93,114,84,113,34
18,389,194,563,385,0,64,176
563,886,731,94,591,573,67,11
403,492,410,90,117,128,114,648
24,384,194,566,388,341,69,584
450,673,464,316,309,132,98,236
559,834,690,111,849,569,69,54
555,623,718,180,870,437,94,116
389,700,399,499,109,855,101,157
5,13,216,701,408,301,66,637
477,698,459,295,302,159,121,229
477,86,467,154,104,321,96,502
553,876,705,68,597,551,66,17
476,493,442,329,401,154,82,521
14,175,200,697,403,485,76,630
547,867,528,176,195,876,77,93
818,521,825,697,123,143,120,843
466,693,452,300,289,144,118,234
14,402,6,147,101,327,107,511
3,694,200,148,554,624,65,547
824,688,815,301,292,149,115,253
132,524,133,700,126,138,125,846
688,579,711,467,474,421,141,11
300,591,318,466,475,106,140,16
244,950,48,576,361,713,183,652
127,468,126,589,191,902,184,270
300,167,290,107,157,432,145,263
962,597,973,700,154,929,146,106
383,263,369,581,135,115,132,951
731,582,554,744,663,63,144,104
727,956,586,159,937,707,189,202
726,915,574,187,682,709,166,238
726,660,565,762,912,335,165,110
301,357,302,168,158,224,156,447
292,578,333,101,471,949,128,502
722,593,544,189,686,35,184,233
721,916,569,188,685,706,186,233
204,607,203,694,144,87,152,96
317,606,303,455,458,123,157,1
314,604,336,453,459,936,157,751
359,604,367,904,176,950,133,324
234,381,63,715,377,424,184,78
718,910,765,93,46,897,187,176
110,92,108,598,148,96,151,932
714,587,558,598,692,924,163,121
352,524,366,277,136,904,130,120
988,326,972,708,382,178,189,622
306,600,344,461,451,928,149,742
153,767,158,115,237,86,220,763
764,942,754,124,238,908,231,666
767,708,750,115,118,65,11,287
753,598,532,170,463,696,47,210
765,113,743,121,459,337,57,287
764,763,531,111,455,922,32,486
716,951,610,191,944,745,8,230
712,100,621,587,638,332,223,945
714,77,711,69,15,377,5,652
719,616,554,148,493,646,17,236
717,623,552,958,500,896,22,942
716,619,553,959,501,897,23,945
705,762,634,66,1023,613,8,693
325,575,334,380,679,377,220,179
708,76,723,160,482,658,61,248
714,753,711,70,67,114,62,298
717,949,733,78,507,435,2,683
711,945,560,153,357,743,3,204
708,67,713,75,219,375,212,642
714,66,516,95,343,57,220,684
717,109,756,67,183,156,57,303
710,120,543,906,695,373,7,578
182,608,138,649,583,131,53,348
726,475,522,66,596,38,195,691
726,428,526,978,946,446,49,650
720,699,610,90,914,138,5,449
732,624,568,80,485,942,6,653
729,308,626,135,922,65,117,255
178,607,143,626,573,69,36,96
724,300,624,94,935,82,27,451
735,429,621,87,600,445,205,697
730,86,732,94,204,354,193,312
190,642,180,635,424,85,26,121
732,84,546,92,459,688,202,698
735,737,718,82,86,106,43,313
734,741,719,82,87,102,42,318
722,670,707,140,494,751,22,217
723,671,706,141,495,755,23,216
679,1013,681,47,177,983,188,715
680,320,516,987,564,249,71,965
673,476,579,42,407,346,106,325
676,671,543,39,917,512,109,720
680,990,607,246,266,661,108,163
678,664,683,43,47,19,82,320
673,428,524,53,551,81,180,708
195,766,201,535,469,40,103,4
673,439,525,568,575,241,78,1004
205,544,240,525,578,58,79,31
681,658,676,37,32,23,93,329
680,717,685,44,190,302,185,328
683,422,631,63,557,91,190,718
673,986,598,210,262,644,101,139
685,659,530,32,923,520,96,331
678,350,597,1007,360,344,180,966
691,692,605,32,392,896,111,425
695,369,535,726,960,235,127,307
699,707,621,571,525,279,169,984
688,16,649,62,206,225,68,338
701,325,584,1012,371,323,175,989
700,720,519,573,546,433,83,971
689,444,540,37,563,65,164,724
688,450,619,56,567,466,162,726
692,531,533,239,980,765,106,151
223,536,227,737,558,234,92,309
697,53,623,61,301,257,162,347
696,691,534,50,971,726,112,426
693,349,537,966,553,228,90,986
698,50,587,58,429,924,165,732
214,752,252,528,341,49,21,353
215,30,214,523,19,50,20,352
232,558,208,555,673,253,38,345
233,559,209,554,672,248,39,344
234,631,216,544,1020,202,56,323
238,271,198,982,292,312,51,354
232,549,212,983,731,249,34,738
237,36,236,565,41,10,46,346
238,712,232,638,493,11,45,325
239,713,197,553,364,8,44,347
224,41,225,568,36,7,35,340
225,932,220,551,680,263,46,336
184,988,137,694,268,548,6,541
667,757,596,559,1013,300,25,328
167,59,140,557,263,679,30,680
43,615,58,1015,705,545,15,412
643,752,593,554,1008,297,28,524
40,517,60,443,729,511,14,1002
185,520,168,623,396,587,18,61
671,751,590,565,1007,310,3,53
642,748,589,566,1004,309,0,336
643,983,561,563,1005,698,1,345
665,746,587,560,1002,307,6,529
645,994,567,574,1003,700,7,362
49,540,37,418,731,486,23,1011
665,1005,686,637,235,289,16,52
180,974,155,538,286,566,20,643
176,518,161,614,389,561,27,52
329,452,298,389,265,990,2,243
180,644,145,301,725,582,25,961
767,998,265,647,224,298,27,712
656,56,679,545,227,199,20,1005
178,968,157,539,280,560,18,628
764,997,266,629,227,297,24,715
329,1016,344,927,124,970,482,461
333,470,359,548,237,219,499,880
331,1021,346,925,126,968,480,463
