293,75,16,171,220
314,70,192,117,112
260,222,171,141,326
65,157,33,303,266
49,23,310,96,264
274,214,192,233,331
53,37,290,111,80
18,92,17,216,309
52,158,18,268,332
278,214,1,73,102
317,305,4,342,97
34,202,241,207,184
298,339,12,205,275
258,25,76,106,226
299,69,30,164,210
138,213,291,117,285
16,140,213,98,339
39,5,295,118,287
237,213,240,348,290
309,82,238,155,218
19,74,185,152,343
44,128,321,121,278
55,170,174,321,188
66,112,31,186,328
376,223,253,286,293
110,238,208,267,345
110,237,151,22,245
38,138,212,215,172
39,139,213,214,178
276,295,16,100,115
378,0,347,83,155
160,220,55,239,69
125,199,176,80,367
261,361,47,209,370
25,181,235,232,142
259,232,37,228,314
142,77,34,298,373
91,163,239,311,280
289,324,68,2,214
44,105,174,227,216
41,174,64,58,124
27,66,85,54,145
128,67,44,151,379
267,76,45,132,306
314,274,207,372,362
297,245,134,190,363
101,137,37,249,292
274,169,21,283,184
229,149,37,139,306
8,164,357,93,205
282,378,39,72,86
272,121,193,19,250
14,162,46,311,375
5,36,261,83,218
289,250,89,39,216
273,369,44,356,93
276,160,28,274,177
269,126,248,77,72
66,157,49,69,309
283,138,95,24,221
65,164,24,278,307
265,167,27,277,182
15,87,64,36,132
127,95,169,194,34
363,266,76,178,271
330,147,83,344,243
114,43,68,332,275
125,172,70,281,131
324,159,221,215,259
118,46,65,180,27
364,222,97,363,207
182,142,175,263,377
342,129,119,34,162
84,152,73,185,260
67,249,287,355,42
100,172,64,173,284
324,372,67,55,32
339,110,209,109,1
89,121,218,32,160
89,25,284,155,161
2,148,354,52,348
114,358,259,192,184
90,18,218,152,162
20,192,120,12,63
332,285,127,47,56
383,287,66,269,51
25,241,93,130,345
196,157,363,61,341
118,120,266,210,50
332,223,147,74,250
5,191,114,319,154
116,188,80,185,268
375,278,80,174,269
328,357,48,78,8
161,153,183,272,366
336,222,7,4,143
65,341,307,243,139
357,191,202,242,295
95,244,120,353,289
357,190,252,246,291
323,251,120,246,222
321,6,103,209,376
370,295,107,23,17
379,241,77,323,224
92,126,348,13,133
34,239,4,379,340
107,52,222,230,302
43,152,70,382,228
125,90,235,166,156
331,207,77,86,376
373,293,130,106,269
75,231,108,370,306
329,232,297,351,249
41,148,227,3,316
242,136,107,2,317
336,57,140,83,186
13,208,94,219,19
363,86,212,85,57
48,131,301,358,255
348,53,129,95,182
68,238,98,381,316
70,237,102,377,315
164,352,127,220,200
362,284,18,108,322
335,230,299,194,254
350,327,107,4,19
33,155,86,283,212
186,22,72,75,210
391,482,226,164,452
415,162,32,161,211
131,200,116,14,214
87,39,153,56,468
405,82,9,44,469
123,238,223,157,61
429,472,131,57,424
432,17,173,419,0
179,31,65,66,217
412,490,228,154,101
403,491,229,155,456
82,473,52,85,384
443,436,131,247,224
178,25,146,396,460
428,5,162,96,87
390,427,254,128,48
